filename,collection,cycle,file_size_bytes,sha256
"Derived Variables.pdf","pumf","2007-2008",3222273,"ae6bf552d73f906544a46090c1ac9edfc70ac84d8cf1ddf0c8cd59cc306305f5"
"Questionnaire.pdf","pumf","2007-2008",10461610,"2ab0bafe6f251350d63ae522a3f00c5f679dcb476a73ce38312c2fb4a552e7fc"
"Record Layout.pdf","pumf","2007-2008",192085,"7375c8c9dd3b9daee49030c79e28bacb8cb01ae28f5280f98dd4d90c91e73539"
"User Guide.pdf","pumf","2007-2008",561315,"51212cfec49d9b4c9292896653bf9126f26a665aba561d865080c62bdc16eb6b"
"Weights Methodology.pdf","pumf","2007-2008",136116,"4cd99cf385d2e8a8a16867ded7b55b3b083aa2d6f51ee2603b21e86f268ff98b"
"cchs-escc2009-2010_alpha_index-eng.pdf","pumf","2009-2010",188114,"c7f5e023fc598feef4373e6988df59c660eb02b336c4bcfa736e7b7c9dbbe133"
"cchs-escc2009-2010cbk-eng.pdf","pumf","2009-2010",2315814,"3b0b08ea08b018d6ae3f7cf4f65b3e1ca2b982eaf8371a4abde8a6c7c11a2ebe"
"cchs-escc2009-2010derived-var-eng.pdf","pumf","2009-2010",1047088,"aeaa087420ec3d61e45c826b05491a54d1b5f2e42953249c0cb7dca0c4fa39eb"
"cchs-escc2009-2010rcl-eng.pdf","pumf","2009-2010",188952,"61dad16d402399febc0444afdbe6a993ff2289f622bacfcc36efb3de78c36609"
"cchs-escc2009-2010topical_index-eng.pdf","pumf","2009-2010",185958,"d474851d4dec2dee77fa30a53d104741a62dea3f5ded3d7495ee750059868042"
"cchs-escc2009-2010vt-eng.pdf","pumf","2009-2010",822690,"e4d6a6cc44c2b9658f8bbfcf12c7ebdba6e86d9a5862459fdd95e69108f8daa3"
"cchs-escc2010_2009-2010gid-complement-eng.pdf","pumf","2009-2010",232545,"54f21e8a5a7083e4ad00068faf2512c4db3b61ff62c7df6ba0e6dd272a4b8e03"
"cchs-escc2010_2009-2010gid-eng.pdf","pumf","2009-2010",2503012,"981c4d7a49d16a9c0f2a3638622221e8a963e1aafcf4fcc5334b1dad6c352395"
"cchs-escc2010_2009-2010qualit-eng.pdf","pumf","2009-2010",21393,"af507852790d5cef9c45b4c749a69f7da12ae2314ff0aee43b25c64e9c630031"
"cchs-escc2010_2009-2010gid-complement-eng.pdf","pumf","2010",232545,"54f21e8a5a7083e4ad00068faf2512c4db3b61ff62c7df6ba0e6dd272a4b8e03"
"cchs-escc2010_2009-2010gid-eng.pdf","pumf","2010",2503012,"981c4d7a49d16a9c0f2a3638622221e8a963e1aafcf4fcc5334b1dad6c352395"
"cchs-escc2010_alpha_index-eng.pdf","pumf","2010",196674,"7c80ccaecc050eb2c046f7473d880a6b91304b5220265e3566c5191996ba2afd"
"cchs-escc2010cbk-eng.pdf","pumf","2010",2414753,"7e7a57423ea5e91fdd00d4869a13d00e74f64432c5bd242caee4a4e361c4b5b8"
"cchs-escc2010derived-var-eng.pdf","pumf","2010",1091300,"ab59a15f0745ee70cbcdb1b76ae06c323a74df94a22be935561fb90099d5fe49"
"cchs-escc2010que-eng.pdf","pumf","2010",1851816,"15352a6551d6f306a354e58f974ba3b2c06725ae401147f3278625784f002861"
"cchs-escc2010rcl-eng.pdf","pumf","2010",197440,"8c5744e69068c634869463cf68bea63af3a855061bfad77962957431ebe55f1c"
"cchs-escc2010topical_index-eng.pdf","pumf","2010",193687,"95c0192f194b3efaf856508d88aa8b05cfe727604cf1168a56012e0298a44ebe"
"cchs-escc2010vt-eng.pdf","pumf","2010",834308,"36c5d1af81bc2df891cd2bd73781fe0e42038d1c163a3fc0f477799148aecb34"
"CCHS_2011-2012_Alpha_Index.pdf","pumf","2011-2012",183863,"c4cf3628309f1d57f12272a3baea9471bddcd1ed72a5c07475a10cee564fcbd9"
"CCHS_2011-2012_CV_Tables.pdf","pumf","2011-2012",1239429,"86cf008c09bed8136115755b8ba4d6999a7600107594ab8cbf515866c5c76351"
